"ror_nr","ror_unit","ror_plant","region_id","zip","city","street","year","Pinst","efactor","head","total_flow","flo_river_ror","status","company","turbtype","geodbid","river","river_km","level_meter"
"3462","E21875011000000000000187155500000",,"11018","84339","Unterdietfurt","Neuaich","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"25237",,"0","12"
"3463","E21875011000000000000187157800000",,"11018","94424","Arnstorf","Kohlstorf","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"13742",,"0","12"
"3464","E21875011000000000000187158500000",,"11018","84347","Pfarrkirchen","Hofroth","2001","0.13","0.00","0.00","0.00",NULL,"OPR",,,"22419",,"0","12"
"3465","E21875011000000000000187159100000",,"11018","84347","Pfarrkirchen","Obergrasensee","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"22419",,"0","12"
"3466","E21875011000000000000187161000000",,"11018","84364","Bad Birnbach","Birnbacher Str.","2001","0.20","0.00","0.00","0.00",NULL,"OPR",,,"13877",,"0","12"
"3467","E21875011000000000000187166800000",,"11018","84364","Bad Birnbach","Muehlham","2001","0.19","0.00","0.00","0.00",NULL,"OPR",,,"13877",,"0","12"
"3468","E21875011000000000000187168600000",,"11018","84364","Bad Birnbach","Luderbacher Str.","2001","0.17","0.00","0.00","0.00",NULL,"OPR",,,"13877",,"0","12"
"3469","E21875011000000000000187171500000",,"11018","84367","Tann","Baubachweg","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"24815",,"0","12"
"3470","E21875011000000000000187172900000",,"11018","84367","Reut","Zoglau","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"23039",,"0","12"
"3471","E21875011000000000000187173300000",,"11018","84367","Zeilarn","Griesmuehle","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"26554",,"0","12"
"3472","E21875011000000000000187174400000",,"11018","84367","Tann","Haberzagl","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"24815",,"0","12"
"3473","E21875011000000000000187175900000",,"11018","84371","Triftern","Brueckenstr.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25095",,"0","12"
"3474","E21875011000000000000187177600000",,"11018","84371","Triftern","Haag","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"25095",,"0","12"
"3475","E21875011000000000000187178500000",,"11018","84371","Triftern","Kauflandener Str.","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"25095",,"0","12"
"3476","E21875011000000000000187179300000",,"11018","84371","Triftern","Schlossstr.","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"25095",,"0","12"
"3477","E21875011000000000000187184700000",,"11018","84378","Dietersburg","Breitenbach","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15610",,"0","12"
"3478","E21875011000000000000187185900000",,"11018","84381","Johanniskirchen","Am Espet","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18970",,"0","12"
"3479","E21875011000000000000187187100000",,"11018","84381","Johanniskirchen","Schratzmuehle","2001","0.03","0.00","0.00","0.00",NULL,"OPR",,,"18970",,"0","12"
"3480","E21875011000000000000187187800000",,"11018","84381","Johanniskirchen","St.-Andreas-Str.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18970",,"0","12"
"3481","E21875011000000000000187188300000",,"11018","84381","Johanniskirchen","Zaunriedenstr.","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"18970",,"0","12"
"3482","E21875011000000000000187191300000",,"11018","84385","Egglham","Gopping","2001","0.02","0.00","0.00","0.00",NULL,"OPR",,,"15989",,"0","12"
"3483","E21875011000000000000187192100000",,"11018","84385","Egglham","Krieglmuehle","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"15989",,"0","12"
"3484","E21875011000000000000187193900000",,"11018","84389","Postmuenster","Stegen","2001","0.01","0.00","0.00","0.00",NULL,"OPR",,,"22586",,"0","12"
